Song Id,Song,angry,disgust,fear,happy,sad,surprise,neutral,class
118,Jaane tu ya jaane na,8.415841584,0,7.290729073,4.320432043,72.54725473,0.090009001,7.290729073,Class_Ca
119,Jaane wo kaise log the jinke pyar Ko pyar Mila,4.961832061,0,4.961832061,4.961832061,58.96946565,0,25.95419847,Class_Ca
120,Jab koi baat bigad ,14.68926554,0,7.90960452,13.74764595,52.91902072,0,10.54613936,Class_Ca
121,Jab se Tere niana,2.479338843,0,2.066115702,39.25619835,42.97520661,0,12.80991736,Class_Ha
122,Jai ho,0,0,0,0,99.68454259,0,0,Class_Ex
123,Janne vo kaise log the,4.961832061,0,4.961832061,4.961832061,58.96946565,0,25.95419847,Class_Sa
124,Jaroori tha,9.173272933,0.113250283,17.89354473,14.83578709,28.42582106,3.510758777,25.93431484,Class_Sa
125,Je mainu yaar na mile,13.38983051,0,7.966101695,1.525423729,69.3220339,1.186440678,6.440677966,Class_Ex
126,JEE karda - Singh is king,9.587628866,0.412371134,6.804123711,14.12371134,49.17525773,0.412371134,19.3814433,Class_An
127,Jeena jeena,0,0,0,0,10.82474227,44.32989691,44.32989691,Class_Ca
128,Jeete hain chal,3.979678239,0,14.81795089,3.979678239,65.36833192,0,11.76968671,Class_Ca
129,Jindgi do pl ki,8.413001912,0,4.780114723,16.63479924,59.84703633,0.382409178,9.751434034,Class_Ca
130,Jindgi k Safar me Gujar jaate hai jo maukam,9.6,0,10.4,8.8,52.8,0,17.6,Class_Ca
131,Jo bheji thi dua,20.82551595,0,5.440900563,3.377110694,59.84990619,0.187617261,10.13133208,Class_Sa
132,Jogi ,4.733727811,0,14.99013807,31.75542406,33.33333333,0,14.99013807,Class_Ca
133,Kaavaan Kaavaan (Lucknow Central),17.9584121,0,4.914933837,5.103969754,64.0831758,0.189035917,7.561436673,Class_Ca
134,kabhi Alvida Na kehna,22.34042553,0,2.836879433,2.127659574,66.66666667,0.354609929,5.319148936,Class_Sa
